email,password,rut,rol,nombreC
Alumnos2@alumnos.cl,123456,2,Alumno,Alumno2
alumno4@alumnos.cl,123456,4,Alumno,Alumno4
alumno5@alumnos.cl,123456,5,Alumno,Alumno5
alumno6@alumnos.cl,123456,6,Alumno,Alumno 6
Alumno1@alumnos.cl,123456,1,Alumno,Alumno 1
Alumno3@alumnos.cl,123456,3,Alumno,Alumno 3
Alumno7@alumnos.cl,123456,7,Alumno,Alumno7
Alumno8@alumnos.cl,123456,8,Alumno,Alumno 8
Alumno9@alumnos.cl,123456,9,Alumno,Alumno 9
Alumno10@alumnos.cl,123456,10,Alumno,Alumno 10
Alumno11@alumnos.cl,123456,11,Alumno,Alumno 11
Alumno12@alumnos.cl,123456,12,Alumno,Alumno 12
Alumno13@alumnos.cl,123456,13,Alumno,Alumno 13
Alumno14@alumno.cl,123456,14,Alumno,Alumno 14
Alumno15@alumno.cl,123456,15,Alumno,Alumno 15
Alumno16@alumno.cl,123456,16,Alumno,Alumno 16
Alumno17@alumno.cl,123456,17,Alumno,Alumno 17
Alumno18@alumno.cl,123456,18,Alumno,Alumno18
Alumno19@alumno.cl,123456,19,Alumno,Alumno19
Alumno20@alumno.cl,123456,20,Alumno,Alumno20
